,tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,sec_conv,perform_validation,num_train_samples,input_1,input_2,#_epochs,#filters_conv1,filter_size_conv1,act_func_conv1,#filters_conv2,filter_size_conv2,act_func_conv2,dense_neurons,act_func_dense
0,1,142.28326416015625,959.484492305697,11.928255081176758,30.975546682919045,9.219305992126465,25.015990754812957,27851252.0,117.05489733764685,0.9185666441917419,0.4443793296813965,True,False,17731,30,14,2,32,2,sigmoid,384,5,relu,50,relu
1,1,137.36634826660156,965.2490702262937,11.720338821411133,31.068457802509183,9.05268383026123,25.831534976214172,28865722.0,130.15371221874415,0.9213809370994568,0.44104111194610596,True,False,17731,30,14,2,32,3,sigmoid,384,5,relu,50,relu
2,1,147.4169921875,771.3554313885274,12.141539573669434,27.773286290760183,9.471305847167969,21.705808607935907,29192092.0,132.1348363030654,0.9156284332275391,0.5533214807510376,True,False,17731,30,14,2,32,4,sigmoid,384,5,relu,50,relu
3,1,149.7090301513672,920.1806367006243,12.235564231872559,30.334479337885863,9.473329544067383,24.37566477060318,27196528.0,128.05365056149753,0.9143165946006775,0.46713948249816895,True,False,17731,30,14,2,32,5,sigmoid,384,5,relu,50,relu
4,1,200.0225067138672,992.1179906867272,14.14293098449707,31.497904544377665,10.926739692687988,25.4989206302166,34781408.0,122.82131305857568,0.8855205774307251,0.42548173666000366,True,False,17731,30,14,2,32,6,sigmoid,384,5,relu,50,relu
5,1,189.4706573486328,837.0894204296178,13.7648344039917,28.932497652805882,10.514350891113281,23.254195970892905,20508406.0,128.9735106454418,0.8915597796440125,0.5152561068534851,True,False,17731,30,14,2,32,8,sigmoid,384,5,relu,50,relu
6,1,128.07432556152344,1100.1441654683147,11.31699275970459,33.168421208557916,8.644007682800293,27.55863968282938,28183650.0,113.08502540107317,0.9266991019248962,0.3629257082939148,True,False,17731,30,14,2,64,2,sigmoid,384,5,relu,50,relu
7,1,146.8756866455078,704.8625206664925,12.11922836303711,26.549247082855146,9.331708908081055,21.25459820330143,36818424.0,133.2749172305151,0.9159382581710815,0.5918264389038086,True,False,17731,30,14,2,64,3,sigmoid,384,5,relu,50,relu
8,1,145.34628295898438,846.7505678759279,12.055964469909668,29.098978811565328,9.214533805847168,23.772205052524804,28450220.0,133.85092686540403,0.9168137311935425,0.5096615552902222,True,False,17731,30,14,2,64,4,sigmoid,384,5,relu,50,relu
9,1,135.32093811035156,1124.1063731977147,11.632752418518066,33.52769561418909,8.868511199951172,27.936044623851775,29224114.0,127.17387349930549,0.9225516319274902,0.3490496277809143,True,False,17731,30,14,2,64,5,sigmoid,384,5,relu,50,relu
10,1,143.698974609375,876.6170663832179,11.98745059967041,29.607719709278825,9.19919204711914,23.685072482824324,30793410.0,125.5658189621041,0.9177562594413757,0.49236631393432617,True,False,17731,30,14,2,64,6,sigmoid,384,5,relu,50,relu
11,1,183.21241760253906,917.5449673832168,13.535597801208496,30.291004727199407,10.353883743286133,23.061830305457114,34369108.0,140.73754780975253,0.8951414227485657,0.4686656594276428,True,False,17731,30,14,2,64,8,sigmoid,384,5,relu,50,relu
12,1,119.46172332763672,1128.525203806805,10.929854393005371,33.593529195468655,8.396360397338867,27.68189814798534,23766576.0,117.0200117361141,0.9316282868385315,0.3464908003807068,True,False,17731,30,14,2,128,2,sigmoid,384,5,relu,50,relu
13,1,129.26699829101562,720.0938462757283,11.3695650100708,26.83456439511788,8.634663581848145,21.064148507714272,24336314.0,134.74124681257464,0.9260163307189941,0.5830062627792358,True,False,17731,30,14,2,128,3,sigmoid,384,5,relu,50,relu
14,1,155.3880615234375,979.9095550397484,12.465475082397461,31.303507072527008,9.496310234069824,25.67151372939348,25586360.0,122.36550916255813,0.9110662341117859,0.4325515627861023,True,False,17731,30,14,2,128,4,sigmoid,384,5,relu,50,relu
15,1,147.15028381347656,750.7331327532424,12.1305513381958,27.399509717388053,9.245363235473633,22.035373529195784,29835158.0,140.42914994813637,0.9157810807228088,0.5652635097503662,True,False,17731,30,14,2,128,5,sigmoid,384,5,relu,50,relu
16,1,140.24623107910156,945.9705757586255,11.842559814453125,30.756634662437072,9.078169822692871,24.60220390772447,22394580.0,132.63662970746023,0.9197325110435486,0.45220494270324707,True,False,17731,30,14,2,128,6,sigmoid,384,5,relu,50,relu
17,1,151.4833526611328,942.2566483297809,12.307857513427734,30.696199248926256,9.434757232666016,24.4210725954175,24273282.0,130.46573164602484,0.9133013486862183,0.4543556571006775,True,False,17731,30,14,2,128,8,sigmoid,384,5,relu,50,relu
18,1,196.7093048095703,784.9004123966399,14.025309562683105,28.016074178882377,10.840940475463867,23.18990744382143,47671852.0,126.91136115713579,0.8874170184135437,0.5454778671264648,True,False,17731,30,14,2,256,2,sigmoid,384,5,relu,50,relu
19,1,162.62110900878906,788.319836196931,12.752298355102539,28.07703396366737,9.609267234802246,23.3466109085083,23999250.0,131.97245932570527,0.9069266319274902,0.5434977412223816,True,False,17731,30,14,2,256,3,sigmoid,384,5,relu,50,relu
20,1,167.2957000732422,971.0101698075715,12.934284210205078,31.161036083666595,9.809142112731934,25.9969190620631,29179936.0,122.81371142847597,0.9042514562606812,0.43770498037338257,True,False,17731,30,14,2,256,4,sigmoid,384,5,relu,50,relu
21,1,163.7509002685547,730.7222253461725,12.79651927947998,27.031874247750054,9.75334644317627,21.69284256696701,28925476.0,132.74875374884348,0.9062801003456116,0.5768515467643738,True,False,17731,30,14,2,256,5,sigmoid,384,5,relu,50,relu
