tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,scaler,first_window,first_window_type,second_window,second_window_type,drop_nan_train,min_periods,mod_loss,mod_learning_rate,mod_n_estimators,mod_subsample,mod_min_samples_split,mod_min_samples_leaf,mod_max_depth,mod_validation,num_features,train_samples_dropped
1,1514.8161833554873,1609.4652815159218,38.9206395548106,40.118141551122754,34.722317680078575,33.51486708454358,40.540009605272935,39.623563403254245,0.1277180432303936,0.0679867886284394,standard,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,3,,14,0
1,1514.8161833554873,1609.4652815159218,38.9206395548106,40.118141551122754,34.722317680078575,33.514867084543575,40.540009605272935,39.623563403254245,0.1277180432303936,0.0679867886284394,minmax,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,3,,14,0
1,1514.8161833554884,1609.4652815159227,38.92063955481061,40.11814155112276,34.7223176800786,33.51486708454358,40.54000960527296,39.62356340325426,0.1277180432303929,0.0679867886284389,,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,3,,14,0
1,1495.9907767903476,1594.7342092605925,38.67803998123932,39.93412336912621,34.5028103122531,33.379696415831155,40.31981152031254,39.5559784548408,0.1385583436285904,0.0765172950750927,standard,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,5,,14,0
1,1495.9907767903478,1594.7342092605925,38.67803998123932,39.93412336912621,34.5028103122531,33.37969641583117,40.31981152031254,39.555978454840805,0.1385583436285903,0.0765172950750927,minmax,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,5,,14,0
1,1495.9907767903478,1594.7342092605925,38.67803998123932,39.93412336912621,34.5028103122531,33.379696415831155,40.31981152031254,39.5559784548408,0.1385583436285903,0.0765172950750927,,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,5,,14,0
1,1485.4918569458064,1590.5105297892935,38.54207904285661,39.88120521986884,34.36863708413235,33.359147819417984,40.18038966459848,39.52589328315907,0.1446039737496508,0.0789631540277887,standard,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,7,,14,0
1,1485.4918569458064,1590.5105297892935,38.54207904285661,39.88120521986884,34.368637084132345,33.359147819417984,40.18038966459848,39.52589328315907,0.1446039737496508,0.0789631540277887,minmax,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,7,,14,0
1,1485.4918569458064,1590.5105297892935,38.54207904285661,39.88120521986884,34.368637084132345,33.359147819417984,40.18038966459848,39.52589328315907,0.1446039737496508,0.0789631540277887,,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,7,,14,0
1,1475.930423488459,1578.8059734742824,38.41783991179695,39.7341914913879,34.24343686573082,33.23579542838847,40.049695015953205,39.46664592528445,0.1501097677709575,0.0857410579963404,standard,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,9,,14,0
1,1475.9304258874777,1578.5520640114485,38.41783994301967,39.7309962625083,34.24343407087509,33.2334429128878,40.04969185482219,39.46567286716716,0.1501097663895221,0.0858880925279772,minmax,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,9,,14,0
1,1475.930425901127,1578.3696787641672,38.41783994319732,39.728700944835424,34.243434095835994,33.231753974320114,40.04969188514252,39.46497553711187,0.1501097663816625,0.0859937086366177,,,avg,,avg,True,,squared_error,0.01,10,1.0,2,1,9,,14,0
1,1330.7758725916678,1408.477153227071,36.47980088475906,37.5296836281239,32.71354783616912,31.40960527040623,38.754815454011535,38.098736332872754,0.2336946258425147,0.1843755004853455,standard,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,3,,14,0
1,1330.7758725916683,1408.4771532270713,36.47980088475907,37.52968362812391,32.71354783616913,31.409605270406235,38.75481545401154,38.09873633287277,0.2336946258425143,0.1843755004853454,minmax,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,3,,14,0
1,1330.7758725916688,1408.4771532270713,36.47980088475907,37.52968362812391,32.71354783616913,31.40960527040624,38.75481545401154,38.09873633287277,0.2336946258425142,0.1843755004853454,,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,3,,14,0
1,1297.290658927678,1381.7468959563814,36.017921357675235,37.17185623501175,32.29167048170823,31.16367614783724,38.34006980248363,37.98077151193056,0.2529765347755005,0.1998545252308676,standard,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,5,,14,0
1,1297.290658927678,1381.7468959563814,36.017921357675235,37.17185623501175,32.29167048170824,31.16367614783724,38.34006980248365,37.98077151193056,0.2529765347755005,0.1998545252308676,minmax,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,5,,14,0
1,1297.290658927678,1381.7468959563814,36.017921357675235,37.17185623501175,32.29167048170823,31.16367614783724,38.34006980248365,37.98077151193056,0.2529765347755005,0.1998545252308676,,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,5,,14,0
1,1278.5816024462872,1376.3651444165523,35.75725943701904,37.09939547238677,32.042750483130426,31.11178788780655,38.088831581956505,37.90990048116092,0.2637498368937488,0.2029710034755648,standard,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,7,,14,0
1,1278.5816024462872,1376.3651444165523,35.75725943701904,37.09939547238677,32.042750483130426,31.11178788780654,38.088831581956505,37.90990048116092,0.2637498368937488,0.2029710034755648,minmax,,avg,,avg,True,,squared_error,0.01,20,1.0,2,1,7,,14,0
