tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,scaler,first_window,first_window_type,second_window,second_window_type,drop_nan_train,min_periods,mod_loss,mod_learning_rate,mod_n_estimators,mod_subsample,mod_min_samples_split,mod_min_samples_leaf,mod_max_depth,mod_validation,num_features,train_samples_dropped
1,1479.0333563841175,1844.6074175400634,38.45820271910945,42.94889308864739,34.26553216254469,36.64058293492682,40.06233432302433,45.207951324457255,0.14832299495476386,-0.23921209699161428,,,abs,,avg,True,,squared_error,0.01,10,1.0,2,1,3,,14,0
1,1467.0489968514203,1818.5698777762168,38.30207562066866,42.64469343044005,34.11034451767906,36.362546868787106,39.89176596641255,45.05633185456833,0.15522399106153606,-0.22172000954555582,,,abs,,avg,True,,squared_error,0.01,10,1.0,2,1,5,,14,0
1,1459.5662041499684,1807.5920113860284,38.20426944923785,42.51578543771746,34.00598968876564,36.18178995990182,39.776011187376106,44.92535678583354,0.15953283402970764,-0.21434505013656624,,,abs,,avg,True,,squared_error,0.01,10,1.0,2,1,7,,14,0
1,1450.3461212610096,1802.493139091312,38.08341005294838,42.45577863013835,33.87375812195268,36.04627647896466,39.63048249298093,44.778027162501466,0.16484206694676284,-0.2109196143671197,,,abs,,avg,True,,squared_error,0.01,10,1.0,2,1,9,,14,0
1,1267.4787703472916,1551.4273553790492,35.60166808377512,39.388162630148784,31.860361713933003,34.306106092771195,37.87631531779688,45.20834081071181,0.27014321994273593,-0.04225296293847847,,,abs,,avg,True,,squared_error,0.01,20,1.0,2,1,3,,14,0
1,1246.1323366056126,1502.9041820046602,35.300599663541306,38.76730816041604,31.559199675804184,33.69875505107572,37.56147764367993,44.793649080139176,0.28243521233022073,-0.009654967908103051,,,abs,,avg,True,,squared_error,0.01,20,1.0,2,1,5,,14,0
1,1232.4786339152167,1483.6436492568198,35.10667506209064,38.518095088631,31.3528800265279,33.35803422256126,37.33741143854413,44.48852056404141,0.29029747220755275,0.00328430846510841,,,abs,,avg,True,,squared_error,0.01,20,1.0,2,1,7,,14,0
1,1215.2933207362341,1473.4090032739393,34.861057366870476,38.385010137733964,31.093261584107847,33.125009223475935,37.05857604473301,44.264378807097806,0.3001933518345157,0.010159970456821377,,,abs,,avg,True,,squared_error,0.01,20,1.0,2,1,9,,14,0
1,831.0853851417015,1026.1390512921691,28.828551561632462,32.033405240345104,26.090444415703594,28.405230515927286,32.73513313833274,44.83842476621185,0.5214331653176556,0.31063709629198843,,,abs,,avg,True,,squared_error,0.01,50,1.0,2,1,3,,14,0
1,793.94848733825,965.5764901120752,28.177091534405214,31.07372668528954,25.425087823066647,27.27466122952128,32.08440409436619,43.83839935535288,0.5428178364350393,0.35132318360006853,,,abs,,avg,True,,squared_error,0.01,50,1.0,2,1,5,,14,0
