tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,sec_conv,perform_validation,num_train_samples,input_1,input_2,#_epochs,#filters_conv1,filter_size_conv1,act_func_conv1,#filters_conv2,filter_size_conv2,act_func_conv2
1,187.4579620361328,282.4021360564111,13.691529273986816,16.804824785055366,10.799601554870604,13.084684200808406,55712464.0,149.11378657014856,0.8934499621391296,0.8364658355712891,False,True,17731,30,14,5,32,5,relu,64,5,relu
1,166.96896362304688,251.88067757014133,12.92164707183838,15.870749118114787,10.166595458984377,11.988082466125489,50640868.0,146.7918051848575,0.9044382572174072,0.8541402816772461,False,False,17731,30,14,5,32,5,relu,64,5,relu
1,235.3763427734375,266.3030880085266,15.34197998046875,16.318795544050626,11.758848190307615,12.331007087230685,36186320.0,138.62139410746764,0.8662132024765015,0.8457885384559631,False,True,17731,30,14,5,32,5,sigmoid,64,5,relu
1,206.63287353515625,245.24940348867744,14.374730110168455,15.660440718213438,11.08171272277832,11.605845721960067,29879520.0,148.5209520095768,0.8817374110221863,0.8579803705215454,False,False,17731,30,14,5,32,5,sigmoid,64,5,relu
1,149.56884765625,253.1700675272808,12.22983455657959,15.911318849400285,9.406376838684082,12.348108677864074,24409952.0,144.2988684863809,0.914985716342926,0.8533936738967896,False,True,17731,30,14,5,32,5,tanh,64,5,relu
1,142.96380615234375,235.3692036391156,11.956747055053713,15.341747085619538,9.173345565795898,11.864399223327636,24154598.0,148.5965674342453,0.9181773066520692,0.8637018203735352,False,False,17731,30,14,5,32,5,tanh,64,5,relu
1,180.37071228027344,321.7806353789276,13.430216789245604,17.9382450473542,10.43830108642578,13.171336295604704,33505018.0,157.79236578960388,0.8974780440330505,0.8136624693870544,False,True,17731,30,14,5,64,5,relu,64,5,relu
1,152.93087768554688,257.741116512455,12.366522789001465,16.05431769065428,9.654622077941896,12.628637491166591,40370404.0,152.0531223301046,0.9124728441238404,0.8507466316223145,False,False,17731,30,14,5,64,5,relu,64,5,relu
1,214.49386596679688,265.6334705572005,14.64560890197754,16.29826587576729,11.26389217376709,12.08989273071289,50290084.0,148.23103043665532,0.8780828714370728,0.846176266670227,False,True,17731,30,14,5,64,5,sigmoid,64,5,relu
1,197.85484313964844,243.11157539338743,14.066088676452637,15.592035639819048,10.876276969909668,12.120572099685669,43688356.0,142.87322262070344,0.8867612481117249,0.8592182993888855,False,False,17731,30,14,5,64,5,sigmoid,64,5,relu
1,140.36134338378906,225.005947849472,11.847419738769531,15.000198260338829,9.03995418548584,11.522490521669388,24750216.0,148.89309101600816,0.9202191829681396,0.8697029948234558,False,True,17731,30,14,5,64,5,tanh,64,5,relu
1,131.8935546875,242.0196205605328,11.484492301940918,15.556979802022395,8.858163833618164,12.456992223262787,22143666.0,145.8246660075184,0.9245131015777588,0.8598506450653076,False,False,17731,30,14,5,64,5,tanh,64,5,relu
1,185.94444274902344,276.2221667624472,13.636144638061523,16.619932814618934,10.59985637664795,12.286006991863252,38539204.0,138.83924856321337,0.8943101167678833,0.8400445580482483,False,True,17731,30,14,5,128,5,relu,64,5,relu
1,168.29849243164062,267.17937701932004,12.97299098968506,16.34562256444581,9.953479766845703,12.59601067185402,18219184.0,151.16631191467255,0.9036774039268494,0.8452810645103455,False,False,17731,30,14,5,128,5,relu,64,5,relu
1,191.7743988037109,279.60494673400245,13.84826374053955,16.721391889851827,10.699950218200684,12.374567019939423,34083364.0,155.47536601886884,0.8909963369369507,0.8380856513977051,False,True,17731,30,14,5,128,5,sigmoid,64,5,relu
1,181.0610198974609,235.0309458677494,13.455891609191896,15.33071902644326,10.3165922164917,11.54466206073761,29831662.0,148.46112366942555,0.8963727951049805,0.8638976812362671,False,False,17731,30,14,5,128,5,sigmoid,64,5,relu
1,139.71926879882812,227.3614867610286,11.820290565490724,15.078510760716012,9.096505165100098,11.821276860237122,25677180.0,146.16689889359623,0.920584201812744,0.868338942527771,False,True,17731,30,14,5,128,5,tanh,64,5,relu
1,123.71246337890624,260.3358796223974,11.122610092163086,16.134927320022157,8.553168296813965,12.480315593481064,23184360.0,147.65049756096994,0.9291954040527344,0.8492439985275269,False,False,17731,30,14,5,128,5,tanh,64,5,relu
1,135.05279541015625,291.66639682122934,11.621221542358398,17.078243376332043,8.991287231445312,13.402938418388366,35110156.0,140.08020762078883,0.9232366681098938,0.8311010599136353,False,True,17731,30,14,10,32,5,relu,64,5,relu
1,129.00289916992188,247.62285685417075,11.35794448852539,15.73603688525706,8.798333168029785,11.841680176258087,38242472.0,150.0248931800081,0.926167368888855,0.8566058874130249,False,False,17731,30,14,10,32,5,relu,64,5,relu
1,166.25685119628906,247.10579611901605,12.894062995910645,15.719599108088476,9.832069396972656,11.9465741828084,23206318.0,152.26462882935184,0.9055002927780152,0.8569053411483765,False,True,17731,30,14,10,32,5,sigmoid,64,5,relu
1,159.96385192871094,239.74106777365824,12.64768123626709,15.483574127883337,9.718183517456056,12.108518854379652,22809572.0,145.48153971757029,0.9084475040435792,0.8611701130867004,False,False,17731,30,14,10,32,5,sigmoid,64,5,relu
1,114.68946838378906,269.14479390086984,10.709317207336426,16.405632992995724,8.198465347290039,13.145589067935944,25509886.0,147.65779435183737,0.934811234474182,0.8441429138183594,False,True,17731,30,14,10,32,5,tanh,64,5,relu
1,92.45075988769533,244.36416139306823,9.615131378173828,15.632151527958914,7.369392395019531,12.058619842529296,21370640.0,148.18172702618236,0.9470873475074768,0.8584929704666138,False,False,17731,30,14,10,32,5,tanh,64,5,relu
